epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.1341,0.948,0.0472,0.9828
2,0.0733,0.9774,0.0404,0.9865
3,0.0691,0.9793,0.029,0.9926
4,0.0482,0.9842,0.0312,0.9914
5,0.0565,0.985,0.0323,0.989
6,0.0386,0.9873,0.0318,0.9853
7,0.0387,0.9881,0.032,0.989
8,0.0296,0.9899,0.0236,0.9926
9,0.032,0.9899,0.057,0.9792
10,0.0249,0.991,0.0566,0.9792
